a2cloud_score,Cost(per hour USD),Instance,cluster
6.287519235,0.045,Lin.C,3
3.965772153,0.0464,t2.medium,0
6.410438276,0.045,Lin.C,3
4.18427679,0.1184,N1M2,0
5.242235258,0.015,Lin.G,3
4.778186767,0.1184,N1M2,0
3.9538880260000004,0.0376,t3a.medium,0
4.7856804760000005,0.0832,B2ms,0
3.5581828669999997,0.0464,t2.medium,0
10.0,0.0188,t3a.small,1
3.9754964260000003,0.0709,N1cc,0
3.4644198860000004,0.126,E2s,0
1.1363110459999999,0.0752,t3a.large,2
2.9408008139999997,0.133,r4.large,0
4.992448932,0.0709,N1cc,3
6.306784462,0.09,Lin.M,3
3.441534729,0.1,m4.large,0
4.019828673999999,0.023,t2.small,0
4.173891591,0.0376,t3a.medium,0
4.706834849,0.1,m4.large,0
3.0684965760000003,0.133,r4.large,0
1.344604093,0.0752,t3a.large,2
4.682849147,0.09,Lin.M,0
6.2890589189999995,0.045,Lin.C,3
4.191026858,0.0464,t2.medium,0
6.588675832000001,0.09,Lin.M,3
1.4275194359999999,0.0752,t3a.large,2
3.4401948680000003,0.133,r4.large,0
3.4126111789999998,0.126,E2s,0
3.4925652119999997,0.023,t2.small,0
1.0,0.085,c5.large,2
3.441569139,0.126,E2s,0
5.112996267,0.1184,N1M2,3
3.73314274,0.0928,t2.large,0
4.785426268,0.0832,B2ms,0
6.255207886,0.126,E2s,3
3.823080045,0.015,Lin.G,0
10.0,0.0188,t3a.small,1
4.77239088,0.0832,B2ms,0
4.208122326,0.095,N1s2,0
3.33765025,0.1,m4.large,0
1.0,0.085,c5.large,2
4.1351208,0.095,N1s2,0
2.3776291019999998,0.1,c4.large,2
5.92643693,0.015,Lin.G,3
2.346203624,0.1,c4.large,2
4.528526292,0.095,N1s2,0
4.796515604,0.095,N1s2,0
3.871246928,0.0709,N1cc,0
4.05155049,0.0464,t2.medium,0
4.031569286,0.0376,t3a.medium,0
4.17009815,0.1184,N1M2,0
4.774295363,0.0832,B2ms,0
1.0,0.085,c5.large,2
1.879503287,0.0208,t3.small,2
4.313586935,0.133,r4.large,0
4.302943036,0.085,F2s,0
9.893657999,0.0188,t3a.small,1
10.0,0.0188,t3a.small,1
7.164399696,0.045,Lin.C,3
4.834692493,0.0464,t2.medium,0
3.769155118,0.0709,N1cc,0
3.700503087,0.0928,t2.large,0
3.640615495,0.1,m4.large,0
4.1697462519999995,0.1184,N1M2,0
3.8428013310000004,0.015,Lin.G,0
4.381996707,0.1,m4.large,0
4.472916788,0.095,N1s2,0
10.0,0.0188,t3a.small,1
3.510696559,0.023,t2.small,0
4.516855983999999,0.095,N1s2,0
3.703098835,0.0928,t2.large,0
10.0,0.0188,t3a.small,1
3.4993437469999997,0.126,E2s,0
1.0,0.085,c5.large,2
4.707833045,0.0832,B2ms,0
5.077224451,0.0832,B2ms,3
3.837144064,0.0709,N1cc,0
6.127642888,0.045,Lin.C,3
3.782211382,0.0464,t2.medium,0
2.973671374,0.133,r4.large,0
4.053486255,0.0376,t3a.medium,0
4.262334182,0.0464,t2.medium,0
4.219397288,0.085,F2s,0
3.482656309,0.0928,t2.large,0
1.2592464890000001,0.0752,t3a.large,2
3.3534076930000003,0.1,m4.large,0
3.070474265,0.0928,t2.large,0
5.438682739,0.085,F2s,3
6.929494129,0.045,Lin.C,3
1.93810516,0.0208,t3.small,2
